id,name
1,Thành phố Hồ Chí Minh
2,Quận 1
3,Thành phố Thủ Đức
4,Quận Tân Phú
5,Huyện Củ Chi
6,Quận 3
7,Quận Bình Tân
8,Quận 12
9,Huyện Hóc Môn
10,Quận 7
11,Huyện Bình Chánh
12,Quận 10
13,Quận 6
14,Quận 4
15,Quận 5
16,Quận 8
17,Huyện Cần Giờ
18,Quận Bình Thạnh
19,Quận 11
20,Quận Phú Nhuận
21,Huyện Nhà Bè
22,Quận Tân Bình
