user_id,origin_id
11,1.0
14,1.0
25,2.0
26,3.0
27,3.0
28,3.0
33,1.0
34,1.0
35,1.0
36,1.0
37,2.0
38,4.0
39,5.0
40,6.0
41,7.0
42,1.0
43,3.0
44,3.0
45,1.0
47,1.0
48,8.0
49,1.0
50,1.0
51,1.0
52,2.0
54,9.0
55,1.0
58,1.0
59,1.0
60,1.0
61,1.0
63,9.0
64,10.0
65,11.0
66,12.0
67,13.0
69,14.0
76,1.0
78,15.0
81,1.0
84,1.0
85,1.0
86,2.0
87,16.0
88,2.0
90,1.0
92,1.0
93,1.0
95,1.0
96,17.0
98,1.0
99,1.0
101,18.0
102,1.0
104,1.0
105,5.0
106,1.0
109,19.0
112,1.0
119,1.0
120,1.0
122,1.0
125,1.0
126,20.0
127,1.0
130,17.0
132,1.0
135,5.0
139,1.0
140,3.0
143,1.0
144,21.0
145,22.0
146,1.0
149,1.0
150,23.0
151,17.0
152,1.0
153,24.0
162,1.0
164,1.0
167,1.0
169,1.0
173,1.0
174,1.0
175,1.0
177,1.0
178,1.0
179,1.0
180,1.0
181,1.0
182,1.0
183,1.0
184,25.0
185,1.0
186,1.0
188,26.0
189,1.0
192,1.0
193,1.0
194,1.0
195,1.0
196,1.0
197,27.0
198,1.0
199,1.0
200,1.0
202,1.0
203,1.0
204,1.0
205,1.0
206,1.0
207,1.0
208,2.0
209,2.0
210,2.0
211,1.0
213,21.0
214,28.0
215,3.0
216,29.0
218,22.0
219,1.0
220,1.0
221,1.0
222,1.0
223,2.0
224,30.0
225,31.0
226,2.0
227,32.0
228,33.0
229,1.0
230,1.0
231,2.0
232,1.0
235,1.0
236,2.0
237,1.0
239,1.0
243,34.0
245,1.0
246,35.0
247,1.0
248,1.0
250,1.0
251,1.0
252,1.0
254,5.0
256,1.0
257,1.0
258,1.0
259,1.0
265,14.0
266,1.0
268,1.0
269,1.0
270,1.0
271,1.0
272,1.0
274,1.0
275,36.0
277,17.0
278,1.0
279,1.0
281,1.0
284,1.0
285,1.0
287,37.0
288,1.0
290,1.0
291,2.0
294,1.0
295,1.0
300,3.0
301,1.0
302,2.0
305,22.0
308,38.0
309,1.0
311,2.0
312,1.0
313,1.0
316,1.0
317,39.0
319,2.0
320,40.0
321,17.0
322,39.0
325,1.0
326,17.0
328,1.0
329,1.0
330,1.0
331,2.0
332,1.0
333,1.0
335,1.0
336,1.0
337,1.0
338,1.0
339,1.0
340,21.0
341,2.0
342,41.0
343,1.0
344,42.0
345,2.0
347,1.0
348,1.0
349,1.0
350,1.0
351,1.0
353,43.0
354,1.0
355,1.0
356,1.0
358,3.0
359,1.0
360,2.0
361,1.0
362,1.0
363,1.0
364,44.0
365,28.0
366,45.0
367,1.0
368,3.0
369,1.0
370,46.0
371,47.0
372,48.0
373,49.0
374,50.0
375,51.0
376,52.0
377,53.0
380,54.0
381,55.0
382,56.0
383,57.0
384,58.0
385,59.0
386,9.0
387,60.0
388,61.0
390,62.0
391,63.0
393,1.0
394,42.0
395,64.0
396,65.0
397,62.0
398,66.0
399,67.0
400,1.0
401,68.0
402,69.0
404,70.0
406,71.0
407,72.0
408,73.0
409,74.0
410,64.0
413,75.0
414,76.0
415,1.0
416,9.0
417,77.0
418,42.0
419,78.0
420,56.0
421,79.0
422,80.0
423,81.0
424,64.0
426,82.0
427,41.0
428,83.0
429,84.0
430,85.0
432,1.0
434,70.0
435,1.0
436,1.0
437,1.0
438,86.0
442,1.0
443,87.0
445,1.0
448,1.0
451,21.0
453,1.0
454,1.0
455,1.0
456,1.0
459,2.0
460,1.0
463,1.0
464,88.0
465,6.0
466,1.0
469,2.0
473,1.0
479,1.0
480,88.0
481,1.0
482,25.0
484,1.0
485,1.0
486,1.0
488,89.0
489,90.0
493,91.0
495,9.0
496,92.0
497,93.0
498,94.0
499,95.0
500,42.0
501,96.0
502,97.0
504,98.0
505,99.0
506,100.0
507,101.0
508,102.0
509,103.0
510,46.0
511,12.0
514,56.0
515,104.0
517,105.0
518,106.0
521,107.0
522,56.0
523,1.0
525,108.0
526,109.0
527,110.0
529,111.0
530,112.0
531,92.0
533,113.0
535,114.0
536,1.0
537,1.0
544,1.0
546,115.0
547,1.0
548,1.0
549,116.0
550,1.0
551,14.0
553,1.0
554,117.0
555,1.0
556,1.0
557,1.0
558,1.0
560,2.0
561,4.0
562,4.0
563,118.0
564,1.0
566,16.0
568,1.0
569,1.0
570,1.0
571,1.0
572,119.0
574,42.0
575,120.0
576,121.0
579,122.0
580,123.0
581,42.0
583,124.0
584,1.0
585,10.0
587,20.0
588,125.0
590,58.0
591,126.0
592,127.0
593,2.0
594,1.0
600,39.0
601,1.0
604,1.0
605,1.0
606,1.0
608,1.0
612,88.0
614,38.0
615,2.0
620,1.0
622,70.0
623,1.0
625,128.0
626,1.0
629,1.0
630,2.0
631,1.0
632,1.0
633,1.0
634,2.0
635,17.0
636,1.0
637,1.0
638,129.0
639,1.0
640,3.0
641,1.0
642,1.0
646,1.0
647,1.0
648,130.0
650,131.0
652,132.0
654,133.0
655,41.0
656,134.0
658,135.0
660,136.0
661,137.0
662,138.0
663,139.0
664,136.0
665,140.0
666,56.0
667,1.0
668,141.0
669,95.0
670,142.0
671,143.0
672,144.0
673,145.0
674,139.0
675,146.0
676,147.0
677,148.0
678,149.0
679,150.0
680,151.0
681,62.0
682,152.0
683,153.0
684,64.0
685,93.0
686,154.0
688,155.0
689,10.0
690,12.0
691,156.0
692,20.0
693,157.0
695,58.0
696,135.0
697,158.0
698,159.0
700,160.0
701,161.0
703,162.0
704,163.0
705,42.0
706,70.0
707,1.0
709,95.0
710,111.0
711,164.0
712,165.0
713,41.0
714,166.0
715,167.0
716,42.0
717,75.0
718,168.0
720,169.0
722,170.0
724,171.0
725,96.0
726,115.0
727,1.0
728,172.0
729,173.0
732,174.0
733,175.0
734,176.0
735,177.0
736,178.0
737,179.0
738,180.0
740,21.0
741,181.0
744,20.0
745,182.0
746,48.0
747,183.0
749,184.0
750,185.0
751,42.0
752,186.0
753,187.0
756,188.0
758,189.0
759,56.0
760,190.0
761,191.0
762,184.0
763,192.0
764,193.0
768,194.0
769,195.0
772,113.0
773,9.0
774,64.0
775,64.0
778,109.0
779,88.0
780,196.0
781,197.0
783,42.0
784,198.0
785,199.0
787,42.0
788,200.0
791,9.0
792,201.0
793,202.0
794,203.0
795,204.0
796,1.0
797,205.0
798,142.0
799,206.0
800,207.0
801,42.0
802,208.0
803,209.0
805,210.0
806,211.0
807,212.0
808,213.0
809,214.0
810,215.0
811,216.0
812,64.0
813,9.0
814,41.0
815,217.0
817,218.0
818,200.0
819,64.0
820,219.0
821,220.0
822,221.0
823,222.0
824,64.0
825,223.0
826,224.0
827,1.0
829,225.0
830,48.0
831,226.0
832,144.0
833,227.0
834,228.0
837,224.0
840,229.0
841,230.0
842,231.0
843,232.0
844,233.0
845,79.0
848,41.0
849,57.0
850,234.0
851,1.0
853,235.0
854,1.0
855,236.0
856,75.0
858,140.0
861,2.0
862,1.0
867,2.0
870,1.0
872,1.0
875,2.0
876,1.0
877,1.0
878,27.0
881,1.0
883,1.0
884,1.0
885,1.0
886,1.0
890,1.0
901,237.0
905,1.0
910,1.0
911,1.0
914,1.0
915,5.0
917,1.0
918,1.0
919,237.0
920,1.0
921,34.0
922,34.0
923,1.0
924,2.0
925,1.0
926,1.0
927,3.0
928,158.0
929,140.0
930,238.0
931,239.0
932,240.0
933,39.0
934,41.0
935,241.0
936,62.0
937,242.0
938,243.0
939,244.0
940,245.0
941,236.0
944,219.0
946,135.0
947,246.0
948,78.0
949,247.0
950,102.0
951,9.0
952,248.0
953,249.0
954,250.0
955,1.0
956,1.0
957,1.0
958,9.0
960,36.0
962,22.0
964,22.0
970,251.0
971,3.0
974,88.0
975,39.0
978,1.0
980,3.0
981,1.0
982,1.0
984,1.0
985,1.0
986,1.0
987,3.0
988,4.0
989,2.0
990,1.0
991,3.0
992,1.0
993,1.0
995,1.0
997,2.0
998,62.0
999,252.0
1000,253.0
1001,254.0
1002,255.0
1004,110.0
1006,186.0
1008,256.0
1009,42.0
1011,257.0
1012,234.0
1013,226.0
1014,258.0
1015,259.0
1016,260.0
1018,261.0
1019,130.0
1020,262.0
1021,263.0
1022,42.0
1023,1.0
1024,264.0
1025,265.0
1026,64.0
1027,12.0
1029,266.0
1031,108.0
1033,41.0
1034,42.0
1035,92.0
1036,267.0
1037,1.0
1038,268.0
1039,269.0
1040,130.0
1042,270.0
1043,184.0
1045,42.0
1046,54.0
1047,271.0
1048,105.0
1049,272.0
1051,42.0
1052,273.0
1053,274.0
1054,275.0
1055,96.0
1056,276.0
1057,96.0
1058,62.0
1059,42.0
1060,1.0
1063,20.0
1064,231.0
1065,277.0
1066,278.0
1067,54.0
1068,41.0
1069,92.0
1071,38.0
1072,88.0
1073,1.0
1074,279.0
1077,1.0
1078,1.0
1079,1.0
1081,42.0
1082,1.0
1083,1.0
1084,2.0
1087,2.0
1088,2.0
1091,1.0
1092,1.0
1093,3.0
1094,39.0
1095,2.0
1096,1.0
1097,1.0
1098,1.0
1099,1.0
1100,1.0
1103,1.0
1104,1.0
1105,1.0
1107,1.0
1109,34.0
1111,2.0
1112,280.0
1113,281.0
1114,282.0
1115,283.0
1116,64.0
1117,284.0
1118,285.0
1119,132.0
1120,9.0
1121,286.0
1123,287.0
1124,106.0
1126,256.0
1127,288.0
1130,142.0
1131,39.0
1132,41.0
1133,289.0
1134,41.0
1136,265.0
1138,95.0
1139,176.0
1141,200.0
1143,290.0
1144,291.0
1145,292.0
1146,293.0
1147,201.0
1149,294.0
1150,295.0
1151,296.0
1152,41.0
1153,226.0
1154,234.0
1155,297.0
1156,298.0
1157,41.0
1158,41.0
