poi_id,region_id
311103,1
2005826,1
311087,2
4542125,1
311089,1
2037764,1
14051467,2
317890,2
5505885,2
10005057,2
2475475,1
15292553,1
8290115,1
317896,1
454974,1
1489190,2
317893,1
4552853,1
1929610,1
10836601,1
455387,2
454975,1
1830324,1
2389145,3
2273335,1
26805055,1
311094,2
2273343,2
11622038,1
2414430,1
25169046,3
33677575,3
18314088,1
635380,1
33076194,1
7907864,1
1178970,1
454972,1
10085046,1
8090785,1
1784754,1
8851175,2
6403614,4
1910195,1
550709,1
1165087,1
6438587,1
19757799,2
4597843,1
25340691,1
9582552,1
7736325,5
21230453,1
12084531,2
2407915,2
8754863,1
19255200,1
33099376,2
2168911,1
33235970,2
21051684,1
1368412,1
9806454,1
34257950,1
2484797,2
14928513,1
317898,1
25090493,1
317904,1
6602281,1
9456964,3
11445105,1
550712,1
8295665,1
13957334,1
1724542,2
311100,1
8017932,2
1682089,1
8009199,1
27990845,3
27120263,1
17722137,1
550711,1
8630608,1
2385857,1
12820616,1
317889,1
26809160,3
8010180,1
311092,1
8181417,1
8300005,1
1370386,6
11885518,7
1752815,1
8595674,1
8310942,1
26680907,3
33269337,2
1370380,1
7927054,1
4580323,1
5970625,1
27415839,2
26103372,4
27936796,2
6902917,1
10024158,1
2550321,2
10801837,3
8396485,1
27471402,8
2357145,1
11443657,1
552637,1
12033619,1
8827357,2
8800458,1
7714795,1
25188298,2
8290309,9
7158706,1
32793701,4
7827635,1
17569133,1
8587831,1
11512931,1
8028360,4
23823253,3
11680691,1
14025887,1
33316308,1
7743972,1
25572460,2
20051280,1
1742604,1
7339849,1
25336113,3
2481547,1
11848774,1
3337501,2
10844542,1
8772716,1
27346810,1
311105,1
19820968,6
12125198,1
3731488,1
4559699,1
33239129,1
15685988,1
11121258,1
4826315,3
2283872,1
24107412,3
7171779,2
27714378,4
27705549,3
9806515,1
8856733,1
32796078,3
28006662,1
15511824,1
9974461,1
10068803,1
30525859,1
7346527,1
12435632,1
4795476,1
1557134,1
33067153,1
3677899,5
27525355,1
6975254,1
2336225,1
28126911,3
